Avg(Temp)	ChangeDate
34	2018-10-02 16:30:34.232849
34	2018-10-02 16:31:00.158414
34	2018-10-02 16:32:00.167614
34	2018-10-02 16:33:00.253499
34	2018-10-02 16:34:00.434884
34	2018-10-02 16:35:00.523464
34	2018-10-02 16:36:00.516537
34	2018-10-02 16:37:00.573551
34	2018-10-02 16:38:00.668016
34.0188679245283	2018-10-02 16:39:00.762102
34.03846153846154	2018-10-02 16:40:01.081349
34.407407407407405	2018-10-02 16:41:00.052229
34.65384615384615	2018-10-02 16:42:00.970753
34.62264150943396	2018-10-02 16:43:00.226732
34.679245283018865	2018-10-02 16:44:00.235079
34.54716981132076	2018-10-02 16:45:00.192976
34.54716981132076	2018-10-02 16:46:00.291895
34.471698113207545	2018-10-02 16:47:00.222783
34.611111111111114	2018-10-02 16:48:00.274608
34.43396226415094	2018-10-02 16:49:00.045674
34.41509433962264	2018-10-02 16:50:00.438457
34.301886792452834	2018-10-02 16:51:00.208965
34.37735849056604	2018-10-02 16:52:00.462395
34.5625	2018-10-02 16:53:00.473570
34.35849056603774	2018-10-02 16:54:00.517691
34.490566037735846	2018-10-02 16:55:01.073639
34.471698113207545	2018-10-02 16:56:00.564244
34.39622641509434	2018-10-02 16:57:00.638601
34.333333333333336	2018-10-02 16:58:00.717563
34.339285714285715	2018-10-02 16:59:00.497472
34.15384615384615	2018-10-02 17:00:00.863033
34.056603773584904	2018-10-02 17:01:02.209897
34.0188679245283	2018-10-02 17:02:00.402130
34.0188679245283	2018-10-02 17:03:00.097829
34	2018-10-02 17:04:00.321380
34	2018-10-02 17:05:00.449399
34	2018-10-02 17:06:00.179981
34	2018-10-02 17:07:00.428451
33.9811320754717	2018-10-02 17:08:00.452835
33.943396226415096	2018-10-02 17:09:00.394034
33.867924528301884	2018-10-02 17:10:00.588686
33.867924528301884	2018-10-02 17:11:00.551683
33.75471698113208	2018-10-02 17:12:00.582695
33.79245283018868	2018-10-02 17:13:00.685204
33.71153846153846	2018-10-02 17:14:00.842405
33.81481481481482	2018-10-02 17:15:00.019644
33.78846153846154	2018-10-02 17:16:00.886295
33.77777777777778	2018-10-02 17:17:00.006664
33.642857142857146	2018-10-02 17:18:12.460402
33.827586206896555	2018-10-02 17:19:16.736502
33.74603174603175	2018-10-02 17:20:00.193838
33.60377358490566	2018-10-02 17:21:01.650592
33.82692307692308	2018-10-02 17:22:01.360797
33.794871794871796	2018-10-02 17:23:00.388400
33.71641791044776	2018-10-02 17:24:00.226960
33.78846153846154	2018-10-02 17:25:00.932742
33.388888888888886	2018-10-02 17:26:00.021419
33.094339622641506	2018-10-02 17:27:00.031284
33.056603773584904	2018-10-02 17:28:00.085794
33.0188679245283	2018-10-02 17:29:00.440859
33	2018-10-02 17:30:00.419179
33	2018-10-02 17:31:00.433414
33.056603773584904	2018-10-02 17:32:00.426788
33.660377358490564	2018-10-02 17:33:00.499842
33.84905660377358	2018-10-02 17:34:00.510417
33.943396226415096	2018-10-02 17:35:00.565353
34	2018-10-02 17:36:00.610116
34.16981132075472	2018-10-02 17:37:00.709208
34.698113207547166	2018-10-02 17:38:01.300471
34.660377358490564	2018-10-02 17:39:00.939794
34.21153846153846	2018-10-02 17:40:01.042574
33.54761904761905	2018-10-02 17:41:00.854183
28.94736842105263	2018-10-02 18:16:39.373860
28.962264150943398	2018-10-02 18:17:00.758745
29	2018-10-02 18:18:00.777216
28.941176470588236	2018-10-02 18:19:22.456845
29	2018-10-02 18:20:01.197381
29	2018-10-02 18:21:01.114598
29.0188679245283	2018-10-02 18:22:00.067772
