PHId	PMacid	PName	Abrivation	Current	Voltage	Power	ChangeBy	ChangeDate	PId	UnitId
170125	3C71BF106130	NULL	NULL	55.8	243	229.17	jts_admin	2018-11-28 22:48:00.000000	9	740
170128	3C71BF106130	NULL	NULL	55.3	243	198.98	jts_admin	2018-11-28 22:49:00.000000	9	740
170132	3C71BF106130	NULL	NULL	55.3	243	211.7	jts_admin	2018-11-28 22:50:00.000000	9	740
170136	3C71BF106130	NULL	NULL	55.7	243	193.55	jts_admin	2018-11-28 22:51:00.000000	9	740
170145	3C71BF106130	NULL	NULL	54.7	244	910.47	jts_admin	2018-11-28 22:54:00.000000	9	740
170149	3C71BF106130	NULL	NULL	56.5	246	184.36	jts_admin	2018-11-28 22:55:00.000000	9	740
170153	3C71BF106130	NULL	NULL	55.3	243	184.64	jts_admin	2018-11-28 22:56:00.000000	9	740
170168	3C71BF106130	NULL	NULL	55.4	243	1768.12	jts_admin	2018-11-28 23:04:00.000000	9	740
170175	3C71BF106130	NULL	NULL	56.6	243	2249.56	jts_admin	2018-11-28 23:06:00.000000	9	740
170179	3C71BF106130	NULL	NULL	55.1	243	207.57	jts_admin	2018-11-28 23:07:00.000000	9	740
170183	3C71BF106130	NULL	NULL	55.3	244	241.56	jts_admin	2018-11-28 23:08:00.000000	9	740
170193	3C71BF106130	NULL	NULL	54.8	240	884.15	jts_admin	2018-11-28 23:12:00.000000	9	740
170197	3C71BF106130	NULL	NULL	54.7	247	224.06	jts_admin	2018-11-28 23:13:00.000000	9	740
170201	3C71BF106130	NULL	NULL	54.8	243	224.24	jts_admin	2018-11-28 23:14:00.000000	9	740
170205	3C71BF106130	NULL	NULL	55.8	240	223.45	jts_admin	2018-11-28 23:15:00.000000	9	740
170208	3C71BF106130	NULL	NULL	54.6	243	446.57	jts_admin	2018-11-28 23:16:00.000000	9	740
170212	3C71BF106130	NULL	NULL	55.7	243	698.59	jts_admin	2018-11-28 23:17:00.000000	9	740
170216	3C71BF106130	NULL	NULL	56.8	243	219.41	jts_admin	2018-11-28 23:18:00.000000	9	740
170220	3C71BF106130	NULL	NULL	55.3	244	428.46	jts_admin	2018-11-28 23:19:00.000000	9	740
170224	3C71BF106130	NULL	NULL	55.6	242	682.59	jts_admin	2018-11-28 23:20:00.000000	9	740
170233	3C71BF106130	NULL	NULL	55.7	244	1569.73	jts_admin	2018-11-28 23:24:00.000000	9	740
170236	3C71BF106130	NULL	NULL	56.5	243	230.49	jts_admin	2018-11-28 23:25:00.000000	9	740
170240	3C71BF106130	NULL	NULL	56.6	243	227.2	jts_admin	2018-11-28 23:26:00.000000	9	740
170244	3C71BF106130	NULL	NULL	55.4	243	224.21	jts_admin	2018-11-28 23:27:00.000000	9	740
170248	3C71BF106130	NULL	NULL	56.2	243	230.22	jts_admin	2018-11-28 23:28:00.000000	9	740
170251	3C71BF106130	NULL	NULL	57.1	243	449.4	jts_admin	2018-11-28 23:29:00.000000	9	740
170255	3C71BF106130	NULL	NULL	54.9	244	233.92	jts_admin	2018-11-28 23:30:00.000000	9	740
170258	3C71BF106130	NULL	NULL	56	243	236.68	jts_admin	2018-11-28 23:31:00.000000	9	740
170262	3C71BF106130	NULL	NULL	57.3	244	193.7	jts_admin	2018-11-28 23:32:00.000000	9	740
170271	3C71BF106130	NULL	NULL	55	247	880.99	jts_admin	2018-11-28 23:36:00.000000	9	740
170275	3C71BF106130	NULL	NULL	55.6	245	236.08	jts_admin	2018-11-28 23:37:00.000000	9	740
170279	3C71BF106130	NULL	NULL	63	242	230.48	jts_admin	2018-11-28 23:38:00.000000	9	740
170283	3C71BF106130	NULL	NULL	63.6	243	491.54	jts_admin	2018-11-28 23:39:00.000000	9	740
170287	3C71BF106130	NULL	NULL	62.3	238	255.52	jts_admin	2018-11-28 23:40:00.000000	9	740
170290	3C71BF106130	NULL	NULL	55.3	244	256.88	jts_admin	2018-11-28 23:41:00.000000	9	740
170296	3C71BF106130	NULL	NULL	54.9	244	453.6	jts_admin	2018-11-28 23:43:00.000000	9	740
170299	3C71BF106130	NULL	NULL	55.5	245	234.44	jts_admin	2018-11-28 23:44:00.000000	9	740
170303	3C71BF106130	NULL	NULL	57.3	245	231.27	jts_admin	2018-11-28 23:45:00.000000	9	740
170309	3C71BF106130	NULL	NULL	57.3	245	686.21	jts_admin	2018-11-28 23:48:00.000000	9	740
170313	3C71BF106130	NULL	NULL	56.3	245	908.88	jts_admin	2018-11-28 23:49:00.000000	9	740
170317	3C71BF106130	NULL	NULL	55.9	245	220.39	jts_admin	2018-11-28 23:50:00.000000	9	740
170320	3C71BF106130	NULL	NULL	56.5	245	222.13	jts_admin	2018-11-28 23:51:00.000000	9	740
170323	3C71BF106130	NULL	NULL	56.9	245	225.84	jts_admin	2018-11-28 23:52:00.000000	9	740
170326	3C71BF106130	NULL	NULL	55.4	245	223.66	jts_admin	2018-11-28 23:53:00.000000	9	740
170342	3C71BF106130	NULL	NULL	54.7	244	1826.35	jts_admin	2018-11-29 00:01:00.000000	9	740
170344	3C71BF106130	NULL	NULL	57.7	246	248.61	jts_admin	2018-11-29 00:02:00.000000	9	740
170347	3C71BF106130	NULL	NULL	55.3	246	445.1	jts_admin	2018-11-29 00:04:00.000000	9	740
170349	3C71BF106130	NULL	NULL	54.5	245	189.5	jts_admin	2018-11-29 00:05:00.000000	9	740
170351	3C71BF106130	NULL	NULL	55.5	246	229.36	jts_admin	2018-11-29 00:06:00.000000	9	740
170353	3C71BF106130	NULL	NULL	56	240	233.69	jts_admin	2018-11-29 00:07:00.000000	9	740
170356	3C71BF106130	NULL	NULL	55.8	245	214.68	jts_admin	2018-11-29 00:08:00.000000	9	740
170358	3C71BF106130	NULL	NULL	55.9	245	221.98	jts_admin	2018-11-29 00:09:00.000000	9	740
170360	3C71BF106130	NULL	NULL	56.3	242	188.25	jts_admin	2018-11-29 00:10:00.000000	9	740
170366	3C71BF106130	NULL	NULL	55.5	245	699.35	jts_admin	2018-11-29 00:13:00.000000	9	740
170370	3C71BF106130	NULL	NULL	55.1	246	181.53	jts_admin	2018-11-29 00:14:00.000000	9	740
170373	3C71BF106130	NULL	NULL	56	237	440.06	jts_admin	2018-11-29 00:15:00.000000	9	740
170377	3C71BF106130	NULL	NULL	54.9	240	668.39	jts_admin	2018-11-29 00:16:00.000000	9	740
170381	3C71BF106130	NULL	NULL	55.7	249	192.12	jts_admin	2018-11-29 00:17:00.000000	9	740
170385	3C71BF106130	NULL	NULL	57.2	245	228.52	jts_admin	2018-11-29 00:18:00.000000	9	740
170389	3C71BF106130	NULL	NULL	55.8	246	210.53	jts_admin	2018-11-29 00:19:00.000000	9	740
170393	3C71BF106130	NULL	NULL	55	245	450.08	jts_admin	2018-11-29 00:20:00.000000	9	740
170399	3C71BF106130	NULL	NULL	55.9	245	412.24	jts_admin	2018-11-29 00:22:00.000000	9	740
170402	3C71BF106130	NULL	NULL	56.3	247	195.35	jts_admin	2018-11-29 00:23:00.000000	9	740
170408	3C71BF106130	NULL	NULL	54	246	451.78	jts_admin	2018-11-29 00:25:00.000000	9	740
170412	3C71BF106130	NULL	NULL	55.3	247	234.15	jts_admin	2018-11-29 00:26:00.000000	9	740
170416	3C71BF106130	NULL	NULL	55.7	246	224.58	jts_admin	2018-11-29 00:27:00.000000	9	740
170437	3C71BF106130	NULL	NULL	55.2	247	2056.07	jts_admin	2018-11-29 00:35:00.000000	9	740
170440	3C71BF106130	NULL	NULL	56.5	247	231.97	jts_admin	2018-11-29 00:36:00.000000	9	740
170443	3C71BF106130	NULL	NULL	54.5	243	228.78	jts_admin	2018-11-29 00:37:00.000000	9	740
170449	3C71BF106130	NULL	NULL	55	246	451.03	jts_admin	2018-11-29 00:39:00.000000	9	740
170453	3C71BF106130	NULL	NULL	54	250	202.68	jts_admin	2018-11-29 00:40:00.000000	9	740
170456	3C71BF106130	NULL	NULL	55.6	246	218.78	jts_admin	2018-11-29 00:41:00.000000	9	740
170459	3C71BF106130	NULL	NULL	56.5	245	223.74	jts_admin	2018-11-29 00:42:00.000000	9	740
170461	3C71BF106130	NULL	NULL	55.6	244	460.67	jts_admin	2018-11-29 00:43:00.000000	9	740
170466	3C71BF106130	NULL	NULL	56.2	245	436.53	jts_admin	2018-11-29 00:45:00.000000	9	740
170469	3C71BF106130	NULL	NULL	56.3	246	247.8	jts_admin	2018-11-29 00:46:00.000000	9	740
170472	3C71BF106130	NULL	NULL	55.7	245	231.66	jts_admin	2018-11-29 00:47:00.000000	9	740
170475	3C71BF106130	NULL	NULL	56.5	246	233.14	jts_admin	2018-11-29 00:48:00.000000	9	740
170479	3C71BF106130	NULL	NULL	56.4	241	440.05	jts_admin	2018-11-29 00:50:00.000000	9	740
170483	3C71BF106130	NULL	NULL	56.4	245	236.11	jts_admin	2018-11-29 00:51:00.000000	9	740
170487	3C71BF106130	NULL	NULL	55	246	212.22	jts_admin	2018-11-29 00:52:00.000000	9	740
170494	3C71BF106130	NULL	NULL	54.8	246	431.95	jts_admin	2018-11-29 00:54:00.000000	9	740
170498	3C71BF106130	NULL	NULL	57.3	246	671.52	jts_admin	2018-11-29 00:55:00.000000	9	740
170502	3C71BF106130	NULL	NULL	54.8	247	224.33	jts_admin	2018-11-29 00:56:00.000000	9	740
